epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,6968.05,0.78385,1.35216,0.67462,1.02829,0.80362,0.73896,0.80011,0.6165,0.72501,0.66667,0.66777,0.22944,0.733,0.98075,0.76588,0.7878,0.0003962,0.0003962,0.0003962
83,7053.06,0.77127,1.3541,0.65651,1.01911,0.80436,0.73092,0.78537,0.61078,0.73374,0.66265,0.65856,0.22197,0.74291,0.98394,0.77513,0.80351,0.0003764,0.0003764,0.0003764
84,7138.33,0.78806,1.35909,0.67268,1.03108,0.8504,0.70281,0.79024,0.61092,0.75217,0.62163,0.62726,0.22454,0.74392,0.97299,0.78204,0.79831,0.0003566,0.0003566,0.0003566
85,7223.59,0.78614,1.37227,0.66285,1.0219,0.84187,0.72697,0.79334,0.61228,0.75562,0.6506,0.65743,0.2259,0.73287,0.97774,0.82877,0.80224,0.0003368,0.0003368,0.0003368
86,7308.69,0.77382,1.33388,0.66155,1.02238,0.82152,0.73943,0.80062,0.61731,0.75396,0.67068,0.67516,0.22652,0.72189,0.96264,0.81641,0.78528,0.000317,0.000317,0.000317
87,7393.32,0.77819,1.33147,0.65774,1.02501,0.82611,0.73092,0.7883,0.61271,0.76124,0.63454,0.65881,0.22023,0.73544,0.97066,0.80255,0.80017,0.0002972,0.0002972,0.0002972
88,7478.26,0.76888,1.3539,0.64284,1.01697,0.82152,0.71486,0.78896,0.61769,0.70835,0.66265,0.64826,0.22819,0.73219,0.95724,0.79428,0.80213,0.0002774,0.0002774,0.0002774
89,7563.45,0.76712,1.35662,0.65495,1.01983,0.8496,0.70331,0.79067,0.60876,0.71525,0.66667,0.66035,0.22794,0.7279,0.97194,0.82449,0.80008,0.0002576,0.0002576,0.0002576
90,7648.44,0.75175,1.32755,0.62464,1.00974,0.86929,0.69443,0.79159,0.6145,0.75741,0.61044,0.64869,0.23028,0.72606,0.97272,0.77143,0.79248,0.0002378,0.0002378,0.0002378
91,7759.16,0.665,0.99358,0.63975,1.06801,0.86566,0.6988,0.79463,0.62739,0.80201,0.61817,0.65618,0.22409,0.7094,0.98887,0.80957,0.77999,0.000218,0.000218,0.000218
92,7843.55,0.66541,0.9966,0.62245,1.06608,0.86872,0.6988,0.79185,0.62262,0.7472,0.62651,0.63566,0.22634,0.68794,0.97157,0.84646,0.77236,0.0001982,0.0001982,0.0001982
93,7928.2,0.66113,0.98442,0.62394,1.07469,0.78912,0.76643,0.79679,0.62563,0.7782,0.60588,0.64754,0.23052,0.69229,0.97274,0.76508,0.77271,0.0001784,0.0001784,0.0001784
94,8012.43,0.64555,0.99372,0.61408,1.05321,0.88185,0.70281,0.79355,0.63156,0.78958,0.63052,0.65342,0.22843,0.68966,0.9762,0.84452,0.7718,0.0001586,0.0001586,0.0001586
95,8096.74,0.6474,0.9841,0.5969,1.06142,0.87408,0.70281,0.78542,0.62155,0.78523,0.63137,0.65989,0.22867,0.70404,0.98251,0.82943,0.78077,0.0001388,0.0001388,0.0001388
96,8180.97,0.62417,0.98369,0.5827,1.05314,0.86292,0.71486,0.78655,0.62056,0.76863,0.62707,0.63314,0.22298,0.70297,0.98305,0.88273,0.78019,0.000119,0.000119,0.000119
97,8264.64,0.62588,0.97292,0.57321,1.04729,0.84883,0.72691,0.78563,0.61779,0.7604,0.63052,0.63507,0.22723,0.70633,0.98307,0.8722,0.78091,9.92e-05,9.92e-05,9.92e-05
98,8348.85,0.62509,0.98122,0.57722,1.04823,0.87439,0.69888,0.78118,0.61917,0.78719,0.6388,0.64485,0.22791,0.70665,0.98439,0.91572,0.78025,7.94e-05,7.94e-05,7.94e-05
99,8433.01,0.62284,0.98227,0.58234,1.04475,0.87125,0.6988,0.7858,0.61818,0.73723,0.63855,0.63355,0.2264,0.70985,0.98529,0.86601,0.7843,5.96e-05,5.96e-05,5.96e-05
100,8517.26,0.60765,0.97294,0.56138,1.03609,0.88391,0.71084,0.78823,0.61923,0.78633,0.63052,0.64455,0.23013,0.70603,0.98603,0.85178,0.77892,3.98e-05,3.98e-05,3.98e-05
1,95.7942,3.7156,3.35541,3.76369,3.48956,0.02985,0.07631,0.01246,0.00222,0.02817,0.08434,0.00946,0.00166,2.70859,1.36767,14.1908,1.84937,0.000665339,0.000665339,0.000665339
2,183.6,2.77452,2.00934,2.67894,2.754,0.10239,0.3012,0.05729,0.01027,0.21655,0.18876,0.09161,0.01308,2.59072,1.16866,5.98355,1.70443,0.00133168,0.00133168,0.00133168
3,269.869,2.48748,1.86428,2.38175,2.46695,0.1645,0.28916,0.11023,0.02072,0.1584,0.24096,0.09228,0.01374,2.4854,1.12153,10.8938,1.51554,0.00199672,0.00199672,0.00199672
4,355.449,2.28357,1.81977,2.18088,2.28557,0.15531,0.36546,0.12145,0.02721,0.13212,0.3012,0.09792,0.01704,2.36936,1.11001,6.42676,1.52713,0.00199561,0.00199561,0.00199561
5,440.703,2.09232,1.7427,2.04569,2.1067,0.21727,0.35341,0.18431,0.04378,0.20145,0.30522,0.12534,0.01997,2.24402,1.10058,4.1735,1.40915,0.00199219,0.00199219,0.00199219
6,526.167,1.96643,1.73839,1.9327,1.99696,0.2771,0.45382,0.24342,0.05973,0.25487,0.39759,0.1821,0.03277,2.17426,1.10746,5.3253,1.44731,0.00198781,0.00198781,0.00198781
7,612.152,1.84389,1.71014,1.80989,1.89706,0.28981,0.54217,0.26445,0.07056,0.22903,0.36546,0.15794,0.02783,2.04811,1.07317,5.36375,1.38305,0.00198246,0.00198246,0.00198246
8,697.919,1.74523,1.67799,1.70004,1.8281,0.29946,0.51004,0.28386,0.07493,0.20216,0.43373,0.16015,0.03004,1.98519,1.05072,7.87261,1.41095,0.00197616,0.00197616,0.00197616
9,783.296,1.68848,1.70185,1.61705,1.76576,0.35063,0.51406,0.31398,0.08426,0.31784,0.32559,0.19449,0.04015,2.02498,1.07059,5.23744,1.32326,0.0019689,0.0019689,0.0019689
10,868.761,1.60818,1.65767,1.54544,1.71777,0.42272,0.49398,0.38072,0.13154,0.29403,0.40311,0.19881,0.04568,1.89305,1.11841,4.52911,1.41032,0.00196069,0.00196069,0.00196069
11,954.361,1.55032,1.65927,1.49802,1.67182,0.39859,0.47791,0.3933,0.14601,0.28344,0.36948,0.23447,0.05392,1.83038,1.05558,4.03206,1.29382,0.00195155,0.00195155,0.00195155
12,1039.93,1.50344,1.63201,1.42227,1.63886,0.47447,0.54618,0.42097,0.15167,0.34346,0.48193,0.258,0.06726,1.78242,1.03515,3.95677,1.27183,0.00194147,0.00194147,0.00194147
13,1125.35,1.45125,1.63316,1.38482,1.58948,0.43226,0.49799,0.42315,0.17786,0.30885,0.46586,0.25015,0.05416,1.65742,1.05948,4.50477,1.30404,0.00193048,0.00193048,0.00193048
14,1210.84,1.45097,1.64261,1.38241,1.61396,0.49367,0.49398,0.43687,0.17097,0.42304,0.4257,0.30234,0.08348,1.77125,1.10825,3.13608,1.36345,0.00191858,0.00191858,0.00191858
15,1296.36,1.39425,1.60191,1.32824,1.55726,0.48765,0.57831,0.47437,0.19624,0.41682,0.55422,0.33208,0.09187,1.65288,1.04065,4.52008,1.27861,0.00190578,0.00190578,0.00190578
16,1382.03,1.36995,1.61043,1.27645,1.53741,0.41135,0.53815,0.37289,0.1592,0.3018,0.46988,0.23584,0.06177,1.61814,1.0215,5.11104,1.30851,0.0018921,0.0018921,0.0018921
